municipios,Bovino,Bubalino,Equino,Suíno - matrizes de suínos,Caprino,Ovino,Galináceos - galinhas,Codornas
Munhoz,7804,0,75,22,32,171,1000,0
Muriaé,58211,47,2095,421,205,261,7746,0
Mutum,69227,4,2321,645,942,1135,18250,0
Muzambinho,16566,17,130,161,55,167,3500,0
Nacip Raydan,11325,0,534,41,0,37,800,0
Nanuque,123878,107,4615,182,189,1299,2100,0
Naque,5793,194,278,42,160,53,1600,0
Natalândia,18061,17,504,149,48,7,3200,0
Natércia,15478,0,324,487,23,16,4000,0
Nazareno,18251,235,560,140,0,16,3300,0
Nepomuceno,22793,3,1258,221,57,234,1368300,6500
Ninheira,9487,0,327,262,78,96,7950,0
Nova Belém,3732,0,188,112,113,21,1500,0
Nova Era,9592,240,486,222,0,34,1050,240
Nova Lima,1186,0,708,8,36,82,650,0
Nova Módica,26468,0,1006,100,49,107,1250,0
Nova Ponte,34430,0,668,226,28,86,3350,0
Nova Porteirinha,3113,0,296,384,319,802,2600,0
Nova Resende,8885,44,314,235,28,89,10300,0
Nova Serrana,15066,39,911,70,105,95,4500,0
Novo Cruzeiro,28601,0,1181,929,175,86,26000,0
Novo Oriente de Minas,30996,125,1131,154,62,173,5350,0
Novorizonte,2645,0,319,148,14,2,2600,0
Olaria,8681,47,332,26,0,49,1800,0
Olhos-d'Água,11877,0,1080,206,46,23,12000,310
Olímpio Noronha,2954,0,171,21,0,67,900,0
